country,dataset_key,dataset_party_id,name_short,name,name_english,year_first,year_last,share,share_year,description,comment,created,modified,external_id,partyfacts_id,linked
ALB,manifesto,75721,BK,E Djatha e Bashkuar e Shqipërisë,United Albanian Right,1996,1997,5.0,1996,,,2013-01-01 18:18:05.413000+00:00,2021-03-12 10:13:34.440099+00:00,1914,674,2013-01-01 18:33:17.889000+00:00
ALB,manifesto,75810,PASH,Partia Agrare e Shqipërisë,Agrarian Party of Albania,1991,2001,2.6,2001,,,2013-01-01 18:17:39.471000+00:00,2021-03-12 10:13:34.447258+00:00,1789,840,2013-01-01 18:33:17.491000+00:00
ALB,manifesto,75421,AD,Partia Aleanca Demokratike,Democratic Alliance Party,1992,2001,2.7,1997,,,2013-01-01 18:17:37.134000+00:00,2021-03-12 10:13:34.468680+00:00,1778,594,2014-02-09 12:46:36.901910+00:00
ALB,manifesto,75951,OMONIA,Partia Bashkimi për të Drejtat e Njeriut,Union for Human Rights Party,1991,2001,4.0,1996,,,2013-01-01 18:17:24.398000+00:00,2021-03-12 10:13:34.476961+00:00,1718,1636,2018-08-20 22:37:22.170463+00:00
ALB,manifesto,75624,PD,Partia Demokratike e Shqipërisë,Democratic Party of Albania,1991,1997,62.1,1992,,,2013-01-01 18:16:44.165000+00:00,2021-03-12 10:13:34.484875+00:00,1533,190,2014-02-09 13:21:50.939526+00:00
ALB,manifesto,75622,PUK,Partia e Unitetit Kombëtar,Party of National Unity,1992,1992,0.0,1992,,,2013-01-01 18:18:12.725000+00:00,2021-03-12 10:13:34.489902+00:00,1949,2571,2018-10-09 13:26:17.816218+00:00
ALB,manifesto,75623,PLL,Partia Lëvizja e Legalitetit,Legality Movement Party,1991,1997,3.3,1997,,,2013-01-01 18:17:38.845000+00:00,2021-03-12 10:13:34.491868+00:00,1786,732,2013-01-01 18:33:18.352000+00:00
ALB,manifesto,75621,PP,Partia Popullore,People’s Party,1991,1991,0.0,1991,,formerly: APLP Albanian People’s League Party,2013-01-01 18:16:25.973000+00:00,2021-03-12 10:13:34.503283+00:00,1448,2571,2018-10-09 13:29:23.125892+00:00
ALB,manifesto,75722,PRSH,Partia Republikane Shqiptare,Albanian Republican Party,1991,1997,5.7,1996,,,2013-01-01 18:17:52.743000+00:00,2021-03-12 10:13:34.510693+00:00,1853,819,2013-01-01 18:33:18.723000+00:00
ALB,manifesto,75320,PSD,Partia Socialdemokrate ë Shqipërisë,Social Democratic Party of Albania,1991,2001,4.4,1992,,,2013-01-01 18:17:09.542000+00:00,2021-03-12 10:13:34.513667+00:00,1649,838,2014-06-27 20:20:26.778969+00:00
ALB,manifesto,75220,PPS,Partia Socialiste e Shqipërisë,Albanian Socialist Party,1991,2001,56.2,1991,,,2013-01-01 18:17:23.706000+00:00,2021-03-12 10:13:34.519365+00:00,1715,1729,2019-05-27 13:22:39.391437+00:00
ARG,manifesto,150601,AR,Acción por la República,Action for the Republic,1999,1999,8.1,1999,,,2018-08-02 13:22:57.197286+00:00,2021-03-12 10:13:34.527145+00:00,25032,6112,2018-08-03 10:06:40.872949+00:00
ARG,manifesto,150024,ACyS,Acuerdo Cívico y Social,Social and Civic Agreement,2009,2009,28.8,2009,,,2017-03-13 21:05:09.196037+00:00,2021-03-12 10:13:34.542528+00:00,18729,3889,2018-07-30 11:57:20.386259+00:00
ARG,manifesto,150032,ALIANZA,"Alianza pol el Trabajo, la Justiciay la Educación","Aliance for Work, Justice, and Education",1999,1999,43.8,1999,,,2018-08-02 13:23:09.470457+00:00,2021-03-12 10:13:34.550409+00:00,25076,6116,2018-08-03 12:21:00.056703+00:00
ARG,manifesto,150061,,Alianza Unión-PRO,Alliance Union-PRO,2009,2009,19.2,2009,,,2017-03-13 21:05:12.145608+00:00,2021-03-12 10:13:34.555221+00:00,18750,1790,2018-07-30 12:00:03.083685+00:00
ARG,manifesto,150040,,Allianza de Centro,Center Alliance,1989,1989,9.6,1989,,,2018-08-02 13:23:00.845331+00:00,2021-03-12 10:13:34.560097+00:00,25049,3889,2018-08-03 12:10:55.118959+00:00
ARG,manifesto,150210,ARI,Alternativa para una República de Iguales,Alternative for a Republic of Equals,2003,2003,14.1,2003,,,2017-03-13 21:05:00.118551+00:00,2021-03-12 10:13:34.562422+00:00,18682,1215,2017-06-18 06:31:46.324137+00:00
ARG,manifesto,150023,CC,Coalición Cívica,Civic Coalition,2007,2007,23.1,2007,,,2017-03-13 21:05:09.819730+00:00,2021-03-12 10:13:34.568056+00:00,18734,6159,2019-10-25 11:59:11.568910+00:00
ARG,manifesto,150027,FREJULI,Compromiso Federal,Federal Commitment,2007,2011,7.8,2007,,,2017-03-13 21:05:05.073364+00:00,2021-03-12 10:13:34.575127+00:00,18711,1863,2018-07-30 11:51:34.277661+00:00
ARG,manifesto,150028,,Concertación Justicialista para el Cambio,Justicialist Coalition for Change,1999,1999,35.9,1999,,,2018-08-02 13:22:58.621494+00:00,2021-03-12 10:13:34.583199+00:00,25035,3889,2018-08-03 12:14:27.029571+00:00
ARG,manifesto,150222,,Es posible,It is possible,2009,2009,,2009,,,2017-03-13 21:05:09.350073+00:00,2021-03-12 10:13:34.588964+00:00,18732,2580,2018-07-30 11:47:59.448300+00:00
ARG,manifesto,150026,FAP,Frente Amplio Progressista,Broad Progressive Front,2011,2013,12.5,2011,,,2015-11-17 11:43:38.067710+00:00,2021-03-12 10:13:34.593543+00:00,15494,6161,2020-07-15 08:42:44.732803+00:00
ARG,manifesto,150205,MP,Frente del Movimiento Popular,Front of the popular movement,2003,2003,14.1,2003,,,2017-03-13 21:05:00.448648+00:00,2021-03-12 10:13:34.600227+00:00,18686,3889,2018-07-30 11:39:54.441525+00:00
ARG,manifesto,150029,FREJUPO,Frente Justicialista de Unidad Popular,Justicialist Party of Popular Unity,1989,1989,44.7,1989,,,2018-08-02 13:23:04.580060+00:00,2021-03-12 10:13:34.605498+00:00,25065,3889,2018-08-03 12:17:34.909474+00:00
ARG,manifesto,150025,FpV,Frente para la Victoria,Front for Victory,2003,2013,49.1,2011,,,2015-11-17 11:43:34.599038+00:00,2021-03-12 10:13:34.610333+00:00,15477,2530,2015-11-17 12:06:31.316733+00:00
ARG,manifesto,150202,FREPASO,Frente para un País Solidario,Front for a Country in Solidarity,1995,1995,20.7,1995,,,2018-08-02 13:23:01.726263+00:00,2021-03-12 10:13:34.613574+00:00,25054,5553,2018-08-02 13:23:01.757887+00:00
ARG,manifesto,150230,,Frente Popular,Popular Front,2011,2011,3.7,2011,,,2017-03-13 21:04:58.209297+00:00,2021-03-12 10:13:34.617515+00:00,18670,5086,2018-07-30 11:42:32.038489+00:00
ARG,manifesto,150022,FPL + UCeDé,Frente por la Lealtad y Unión del Centro Democrático,Front for Loyalty and Union of the Democratic Centre,2003,2003,24.2,2003,,,2017-03-13 21:05:12.121430+00:00,2021-03-12 10:13:34.623273+00:00,18749,4182,2018-04-27 17:09:02.791898+00:00
ARG,manifesto,150221,MPN,Moviemiento Popular Neuquino,Neuquén People's Movement,2009,2009,,2009,,,2017-03-13 21:05:10.078789+00:00,2021-03-12 10:13:34.627963+00:00,18735,868,2017-06-18 06:31:46.443930+00:00
ARG,manifesto,150220,,Nuevo Encuentro,New Encounter,2009,2009,,2009,,,2017-03-13 21:05:02.322755+00:00,2021-03-12 10:13:34.633755+00:00,18698,6088,2018-07-30 11:44:44.399916+00:00
ARG,manifesto,150201,PJ,Partido Justicialista,Justicialist Party,1995,1995,43.0,1995,,,2018-08-02 13:23:08.040865+00:00,2021-03-12 10:13:34.636059+00:00,25074,623,2018-08-02 13:23:08.071928+00:00
ARG,manifesto,150401,RECREAR,Recrear para el Crecimiento,Recreate for Growth,2003,2003,16.4,2003,,,2017-03-13 21:05:09.315055+00:00,2021-03-12 10:13:34.640831+00:00,18731,1116,2017-06-18 06:31:46.493276+00:00
ARG,manifesto,150031,UNA,Una Nación Avanzada,An Advanced Union,2007,2007,17.0,2007,,,2017-03-13 21:05:05.059200+00:00,2021-03-12 10:13:34.647020+00:00,18710,3889,2018-07-30 11:49:56.636362+00:00
ARG,manifesto,150301,UCR,Unión Cívica Radical,Civic Radical Union,1989,2013,28.7,1989,,,2015-11-17 11:43:48.393179+00:00,2021-03-12 10:13:34.654611+00:00,15521,1724,2015-11-17 12:07:23.832560+00:00
ARM,manifesto,76421,A,Ardarutyun,Justice,2003,2003,13.7,2003,,,2014-02-08 21:29:11.996052+00:00,2021-03-12 10:13:34.662179+00:00,3629,2008,2014-02-10 09:21:22.766734+00:00
